source_dir	source_file	clip_id	trim_seconds	tempo	denoise
/Users/shubhandua/Downloads/Grace Tea	A succourer of many.m4a	phoebe-letter	6.590	1.2	-
/Users/shubhandua/Downloads/Grace Tea	A year poured out.m4a	mary-perfume	5.930	1.2	-
/Users/shubhandua/Downloads/Grace Tea	All her living.m4a	widow-mite	5.280	1.2	-
/Users/shubhandua/Downloads/Grace Tea	And constrains us.m4a	lydia-house	5.640	1.2	-
/Users/shubhandua/Downloads/Grace Tea	Borrow not a few.m4a	widow-oil	4.660	1.2	-
/Users/shubhandua/Downloads/Revised Tea	Court under a palm (Deborah).m4a	deborah-palm	0.000	1.1	afftdn=nr=10:nf=-45
/Users/shubhandua/Downloads/Grace Tea	Decades of showing up.m4a	anna-temple	5.230	1.2	-
/Users/shubhandua/Downloads/Grace Tea	Five sisters speak right.m4a	zelophehad	6.930	1.2	-
/Users/shubhandua/Downloads/Grace Tea	I will not leave.m4a	shunammite	5.180	1.2	-
/Users/shubhandua/Downloads/Grace Tea	If I perish.m4a	esther-uninvited	5.480	1.2	-
/Users/shubhandua/Downloads/Grace Tea	Laughter behind the tent.m4a	sarah-laugh	5.790	1.2	-
/Users/shubhandua/Downloads/Grace Tea	Loyalty in Barley.m4a	ruth-field	6.250	1.2	-
/Users/shubhandua/Downloads/Grace Tea	Milk then a hammer.m4a	jael-tent	6.760	1.2	-
/Users/shubhandua/Downloads/Grace Tea	Of their own substance.m4a	joanna-fund	6.790	1.2	-
/Users/shubhandua/Downloads/Grace Tea	Only her lips moved.m4a	hannah-prayer	5.490	1.2	-
/Users/shubhandua/Downloads/Revised Tea	She intercepted a king (Abigail).m4a	abigail-intercept	0.000	1.1	afftdn=nr=10:nf=-45
/Users/shubhandua/Downloads/Revised Tea	She left the water pot (well woman).m4a	well-woman	0.000	1.1	afftdn=nr=10:nf=-45
/Users/shubhandua/Downloads/Grace Tea	She taught the teacher.m4a	priscilla-teach	5.120	1.2	-
/Users/shubhandua/Downloads/Grace Tea	She took his signet.m4a	tamar-veil	6.160	1.2	-
/Users/shubhandua/Downloads/Revised Tea	She would not come (vashti).m4a	vashti-no	0.000	1.1	afftdn=nr=10:nf=-45
/Users/shubhandua/Downloads/Grace Tea	The better part.m4a	martha-mary	4.750	1.2	-
/Users/shubhandua/Downloads/Grace Tea	The coats she meds.m4a	dorcas-needle	7.410	1.2	-
/Users/shubhandua/Downloads/Grace Tea	The first to see.m4a	magdalene-first	5.540	1.2	-
/Users/shubhandua/Downloads/Grace Tea	The most costly yes.m4a	mary-yes	4.040	1.2	-
/Users/shubhandua/Downloads/Grace Tea	The scarlet cord.m4a	rahab-rope	4.800	1.2	-
/Users/shubhandua/Downloads/Grace Tea	They asked for the prophtess.m4a	huldah-scroll	6.560	1.2	-
/Users/shubhandua/Downloads/Revised Tea	Thou God seest me.m4a	hagar-seen	0.000	1.1	afftdn=nr=10:nf=-45
/Users/shubhandua/Downloads/Grace Tea	Timbrel on the shore.m4a	miriam-song	4.550	1.2	-
/Users/shubhandua/Downloads/Grace Tea	Twelve years one touch.m4a	bleeding-woman	6.390	1.2	-
/Users/shubhandua/Downloads/Grace Tea	she argued for crumbs.m4a	canaanite-mother	4.660	1.2	-
